"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 22:09:37 GMT 2024","Thu Jun 13 22:09:37 GMT 2024","46","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Thu Jun 13 22:09:36 GMT 2024","Thu Jun 13 22:09:36 GMT 2024","367","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Thu Jun 13 22:10:01 GMT 2024","Thu Jun 13 22:10:02 GMT 2024","853","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Thu Jun 13 22:09:50 GMT 2024","Thu Jun 13 22:09:51 GMT 2024","697","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 13 22:09:37 GMT 2024","Thu Jun 13 22:09:37 GMT 2024","8","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Thu Jun 13 22:09:59 GMT 2024","Thu Jun 13 22:09:59 GMT 2024","688","tests.ui","test_login","","","","test_successful_login",""
"passed","Thu Jun 13 22:10:00 GMT 2024","Thu Jun 13 22:10:01 GMT 2024","685","tests.ui","test_login","","","","test_failed_login",""
"passed","Thu Jun 13 22:09:34 GMT 2024","Thu Jun 13 22:09:35 GMT 2024","737","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 13 22:09:36 GMT 2024","Thu Jun 13 22:09:36 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Thu Jun 13 22:09:52 GMT 2024","Thu Jun 13 22:09:53 GMT 2024","683","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 13 22:09:54 GMT 2024","Thu Jun 13 22:09:57 GMT 2024","2516","tests.ui","test_edit","","","","test_edit",""
"passed","Thu Jun 13 22:09:35 GMT 2024","Thu Jun 13 22:09:35 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 13 22:09:37 GMT 2024","Thu Jun 13 22:09:37 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Thu Jun 13 22:09:35 GMT 2024","Thu Jun 13 22:09:36 GMT 2024","305","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 13 22:09:48 GMT 2024","Thu Jun 13 22:09:50 GMT 2024","1136","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 13 22:09:35 GMT 2024","Thu Jun 13 22:09:35 GMT 2024","322","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 13 22:10:02 GMT 2024","Thu Jun 13 22:10:03 GMT 2024","48","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Thu Jun 13 22:09:36 GMT 2024","Thu Jun 13 22:09:36 GMT 2024","29","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Thu Jun 13 22:09:58 GMT 2024","Thu Jun 13 22:09:58 GMT 2024","42","tests.ui","test_home","","","","test_successful_login",""
"passed","Thu Jun 13 22:09:36 GMT 2024","Thu Jun 13 22:09:36 GMT 2024","15","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
